Sample_ID	Subject_ID	Additional_sample_data	Age	Genotype	Gender	Diet	Sample	Condition	0_75_0_77	0_77_0_80	0_80_0_82	0_82_0_84	0_84_0_86	0_86_0_92	0_92_0_97	0_97_1_02	1_02_1_06	1_06_1_10	1_10_1_12	1_12_1_15	1_15_1_18	1_18_1_23	1_23_1_26	1_26_1_28	1_28_1_30	1_30_1_36	1_36_1_42	1_42_1_45	1_45_1_50	1_50_1_53	1_53_1_58	1_58_1_60	1_60_1_63	1_63_1_65	1_65_1_71	1_71_1_75	1_75_1_79	1_79_1_84	1_84_1_86	1_86_1_88	1_88_1_94	1_94_1_98	1_98_2_03	2_03_2_08	2_08_2_11	2_11_2_17	2_17_2_20	2_20_2_26	2_26_2_32	2_32_2_37	2_37_2_40	2_40_2_42	2_42_2_48	2_48_2_52	2_52_2_58	2_58_2_61	2_61_2_63	2_63_2_66	2_66_2_71	2_71_2_77	2_77_2_83	2_83_2_86	2_86_2_89	2_89_2_91	2_91_2_94	2_94_2_97	2_97_3_02	3_02_3_08	3_08_3_12	3_12_3_17	3_17_3_20	3_20_3_24	3_24_3_30	3_30_3_36	3_36_3_39	3_39_3_45	3_45_3_48	3_48_3_50	3_50_3_53	3_53_3_57	3_57_3_62	3_62_3_64	3_64_3_70	3_70_3_73	3_73_3_79	3_79_3_81	3_81_3_85	3_85_3_87	3_87_3_90	3_90_3_96	3_96_4_00	4_00_4_03	4_03_4_08	4_08_4_14	4_14_4_17	4_17_4_19	4_19_4_24	4_24_4_26	4_26_4_30	4_30_4_34	4_34_4_40	4_40_4_46	4_46_4_49	4_49_4_54	4_54_4_58	4_58_4_64	4_64_4_70	4_70_4_76	4_76_4_78	4_80_4_85	4_85_4_90	4_90_4_95	4_95_4_99	4_99_5_04	5_04_5_07	5_07_5_10	5_10_5_15	5_15_5_18	5_18_5_22	5_22_5_25	5_25_5_27	5_27_5_31	5_31_5_36	5_36_5_41	5_41_5_44	5_44_5_48	5_48_5_52	5_52_5_56	5_56_5_58	5_58_5_64	5_64_5_69	5_69_5_72	5_72_5_77	5_77_5_83	5_83_5_88	5_88_5_92	5_92_5_95	5_95_6_00	6_00_6_05	6_05_6_11	6_11_6_16	6_16_6_21	6_21_6_26	6_26_6_29	6_29_6_35	6_35_6_41	6_41_6_45	6_45_6_47	6_47_6_52	6_52_6_55	6_55_6_59	6_59_6_64	6_64_6_69	6_69_6_74	6_74_6_77	6_77_6_79	6_79_6_84	6_84_6_87	6_87_6_93	6_93_6_97	6_97_7_00	7_00_7_02	7_02_7_05	7_05_7_08	7_08_7_10	7_10_7_15	7_15_7_19	7_19_7_21	7_21_7_27	7_27_7_30	7_30_7_33	7_33_7_34	7_39_7_44	7_44_7_48	7_48_7_52	7_52_7_56	7_56_7_62	7_62_7_67	7_67_7_71	7_71_7_75	7_75_7_78	7_78_7_81	7_81_7_83	7_83_7_89	7_89_7_91	7_91_7_97	7_97_8_02	8_02_8_06	8_06_8_10	8_10_8_15	8_15_8_18	8_18_8_22	8_22_8_27	8_27_8_32	8_32_8_33	8_35_8_37	8_37_8_39	8_39_8_45	8_45_8_51	8_51_8_55	8_55_8_58	8_58_8_63	8_63_8_69	8_69_8_73	8_73_8_77	8_77_8_81	8_81_8_85	8_85_8_91	8_91_8_95	8_95_9_01	9_01_9_05	9_05_9_10	9_10_9_12	9_12_9_17	9_17_9_20	NMR_BINNED_DATA_END	END
B_13	-	{'Sample': 'Sample'}	15	APP	F	AL	Sample	15	0.23287	0.2211	0.28508	0.58594	1.0816	3.6771	3.4913	0.87604	0.69906	0.19515	0	0.0293	0.3041	1.367	0.50664	0.089587	0.21225	49.362	2.9449	0.93425	3.3434	0.43426	0.47468	0.24947	0.54233	0.60673	1.9311	1.2784	0.31489	2.6874	0	0.3561	498.19	5.3734	17.352	14.296	4.427	19.227	2.6091	3.5496	9.5865	17.585	2.0754	1.3531	10.387	4.9287	3.5939	0.49266	0.24981	2.2524	9.3805	1.029	6.0782	0.10254	0.14663	0.16981	0.96487	0.9313	8.0061	32.373	1.0373	0.99052	2.962	16.431	23.206	2.1473	0	14.46	0.78563	0.024787	6.1975	12.437	13.133	4.0088	5.9126	1.5231	17.86	1.8071	4.0267	1.6927	4.7652	28.713	5.3034	4.4574	8.1326	13.67	2.6901	1.0719	3.4705	1.1938	3.2637	3.4118	5.2213	2.5181	0.71842	2.1776	0.89	0.69587	0.070719	0	0	0.11994	0.17821	0	0	0.0099564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19642	0	0	0	0	0	0.18238	0	0.36257	0	0.85457	1.0374	0.028436	0	0	0	0	0	0	0	0	0	0	0.085048	0	0	0	0	0	0.024358	0	0	0.057833	0.0022407	0.030628	0.054199	0.31428	0.028003	0.13333	0.26974	0.15822	0.13519	0	0.74253	0.28058	0.14807	0.082541	0.49067	0.13238	0.05719	0	0	0.029297	0.054182	0.49668	0	0.47394	0.14188	0.086341	0.17086	0.065119	0	0.62586	1.5118	0.022401	0	0.14884	3.6479	1.2419	0.72453	0.72985	0.37277	0.79146	0.42939	0.35301	0.24665	0.21819	0.22787	0.21995	0.33574	0.38468	0.17657	0.22493	0.051104	0.32476	0.17649		
B_14	-	{'Sample': 'Sample'}	15	APP	F	AL	Sample	15	0.25688	0.22536	0.36065	0.64363	1.274	4.9052	4.6834	1.1086	1.0232	0.25213	0.13685	0.14761	0.49988	1.649	0.86809	0.40609	0.528	44.667	4.1869	1.1676	3.9344	0.57226	1.037	0.35519	0.66588	0.73241	2.9497	1.8339	1.1221	3.6046	0.55153	1.5937	465.66	3.5642	19.929	15.719	5.1446	22.218	2.1664	3.4684	10.529	21.547	2.1473	1.5811	11.937	6.5224	3.6196	0.45823	0.35807	2.4108	10.002	1.0084	5.2928	0.23036	0.22762	0.2879	0.80015	0.82093	8.9274	31.462	1.0802	1.2463	3.2767	18.535	25.506	2.2559	0	17.77	0.8725	0.19717	5.7693	11.476	12.531	3.7906	5.6898	1.4448	19.981	1.9401	4.6353	2.5105	4.867	29.195	6.5066	4.8059	7.7724	12.287	2.7349	1.0108	3.4475	1.1615	3.3899	3.7535	6.0603	2.7508	0.73112	2.2332	0.56329	0.46903	0.074832	0.043857	0.14978	0	0	0	0	0	0	0	0	0	0	0.060579	0	0	0	0	0	0	0	0	0	0.025748	0	0	0	0	0	0.28381	0.047895	0.19224	0	1.0347	1.1233	0.050966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031323	0	0	0.45985	0.10946	0.12886	0.42604	0.031994	0.28405	0.0043542	0.78529	0.28199	0.097323	0.17424	0.52054	0.13269	0	0.17625	0	0	0	0.2435	0	0.40595	0.29493	0.051433	0	0.048344	0	0.39239	1.2021	0.11509	0	0.15838	0	5.3387	0.45121	0.48274	0.61941	0.83455	0.2951	0.3594	0.27161	0.18453	0.17096	0.10097	0.35571	0.17756	0.14346	0.011236	0	0.30259	0.027109		
B_15	-	{'Sample': 'Sample'}	15	APP	F	CR	Sample	15	0.16381	0.14467	0.33336	0.60413	1.1894	4.1822	4.0115	0.97522	0.96425	0.19498	0.034304	0.10813	0.20246	1.4515	0.7331	0.40276	0.43616	39.355	3.3853	0.92153	3.834	0.42566	0.62056	0.31542	0.48704	0.44773	2.0145	0.95137	0.22907	2.6335	0	0.51235	465.33	4.8901	23.539	17.382	7.4883	23.109	2.4447	3.1156	9.3523	25.566	3.0757	1.6809	12.699	7.4266	3.9984	0.64503	0.22007	2.807	10.594	0.99236	5.4757	0.1664	0.1754	0.28864	0.86089	0.92397	7.4327	36.265	1.1621	0.96406	2.9145	16.779	29.085	2.3689	0	21.501	0.77444	0.22228	5.3979	9.9089	11.156	3.4943	5.6073	1.768	15.867	1.8998	4.2681	2.3212	2.7777	31.918	6.091	5.1356	7.4459	9.4392	2.3171	1.1308	3.355	1.2977	3.2211	3.6178	6.8816	3.0486	0.9881	2.7984	0.93634	0.65615	0.23652	0.14989	0.035733	0.08929	0.082772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10523	0	0.010146	0	0	0	0.24407	0.23989	0.36413	0.0026858	1.4436	1.1353	0.027073	0.059738	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12353	0	0.08225	0.032094	0	0	0	0.085764	0	0.31621	0.072271	0.035806	0.42669	0.13568	0.11872	0	1.166	0.16973	0.16524	0.21738	0.25723	0.021008	0.011528	0	0	0.071475	0	0.13242	0.061257	0.45069	0.20054	0	0	0.070369	0	0.47737	1.2984	0	0	0.25457	0	3.6412	0.72618	0.54107	0.24028	1.1315	0.31906	0.3472	0.18162	0.1948	0.21171	0.15236	0.1008	0.089492	0.17073	0.15122	0.011987	0.37998	0		
B_16	-	{'Sample': 'Sample'}	15	APP	F	CR	Sample	15	0.34326	0.19393	0.31667	0.46705	1.2551	4.358	3.8541	1.0218	1.2301	0.24898	0.12089	0.16372	0.88646	1.5442	0.72206	0.43177	0.65175	38.94	3.9568	1.167	3.9129	0.5182	0.96709	0.43553	0.65514	0.69365	2.6159	1.4589	0.92752	3.5053	0.4758	1.3179	472.49	3.5858	21.166	15.803	6.34	23.673	2.1168	3.2907	9.8304	23.456	2.3642	1.5663	13.177	6.7014	3.6313	0.4341	0.29163	2.4694	9.8438	0.82009	5.3402	0.25503	0.09141	0.28808	0.77865	0.9462	8.009	30.748	1.0276	0.9668	2.2532	17.52	31.674	2.3784	0	23.851	0.94139	0.26325	5.8088	10.276	11.935	3.6134	5.4958	1.9478	17.966	1.8714	4.4744	2.1621	2.9239	28.087	7.1945	5.1005	7.4542	8.5756	2.4242	1.1398	3.5241	1.2587	2.886	3.248	6.3425	2.6957	0.84618	2.4592	0.8248	0.48486	0.20943	0.12502	0.19193	0	0	0	0	0	0	0	0	0	0	0.01517	0	0	0	0	0	0	0	0	0	0.032902	0	0	0	0	0	0.0042974	0.085451	0.17961	0	1.2018	1.2078	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015547	0	0	0	0	0	0	0	0	0	0.027167	0.31305	0.11656	0.098347	0.63345	0.1279	0.28808	0.026155	0.98631	0.24683	0.038998	0.084857	0.32429	0.080692	0	0	0.0080692	0	0	0.19717	0	0.30376	0.16074	0.1151	0.18307	0.021543	0.041394	0.37799	1.1845	0.051647	0	0.24506	0.018323	3.1487	0.43375	0.50016	0.25062	1.0258	0.38304	0.15357	0.25739	0.1236	0.35942	0	0.13286	0.17022	0.14171	0.12087	0.12633	0.34166	0		
B_17	-	{'Sample': 'Sample'}	15	APP	F	CR	Sample	15	0.44091	0.30861	0.48597	0.86441	1.4907	5.484	5.5611	1.436	1.0689	0.33823	0.13068	0.17287	0.46675	2.102	0.93148	0.48867	0.62856	40.369	4.6456	1.4335	5.2979	0.7131	1.1298	0.51595	0.81453	0.71714	3.2876	1.8289	1.0062	3.5238	0.59403	1.4615	456.14	4.4256	21.931	16.512	6.3655	24.701	2.2606	3.5099	11.745	23.269	2.1908	1.8422	14.625	7.1227	3.4825	0.63233	0.33925	2.6419	9.8951	1.1997	4.9983	0.24541	0.28721	0.42284	0.7175	0.94659	9.9269	29.062	1.2428	1.5194	4.6358	15.401	28.512	2.1085	0.07838	20.756	0.58503	0.18054	5.9866	10.848	11.335	3.8391	4.8714	1.6962	18.608	2.0995	5.0006	2.6099	3.6007	26.422	7.0787	4.1023	7.9264	8.8007	2.4131	0.99183	2.914	1.1249	3.8613	3.2391	5.7014	3.0293	0.74528	2.0275	0.58734	0.57869	0	0	0	0.52725	0.18452	0	0	0	0	0	0	0	0	0	0.0039344	0	0	0	0	0	0	0	0	0.31105	0	0	0	0	0	0.13486	0.093875	0.29517	0	1.5205	0.80551	0.061209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058906	0	0.20121	0.15022	0.029986	0	0.047817	0.026569	0.10667	0.53828	0.26612	0.099681	0.66891	0.2136	0.33609	0.031419	1.1469	0.41899	0.1725	0.30757	0.68635	0.070537	0.020807	0	0	0.042966	0.011793	0.38214	0	0.29148	0.45001	0.11314	0.11116	0.074229	0	0.48934	1.6291	0	0	0.30427	0.044539	3.9097	0.4556	0.37702	0.27984	0.50939	0.44088	0.40512	0.17273	0.068893	0.22505	0.12009	0.40966	0.38641	0	0.20245	0.024113	0.24235	0.049907		
B_18	-	{'Sample': 'Sample'}	15	APP	F	CR	Sample	15	0.44164	0.32564	0.51158	0.82726	1.2519	4.7003	4.8412	1.3579	1.4294	0.67948	0.22809	0.30172	0.65938	1.8759	0.92539	0.49718	0.66384	39.369	4.0912	1.3753	4.1542	0.70075	1.2925	0.58635	1.0316	0.81018	3.1215	2.1711	1.2487	3.8985	0.75296	1.9388	448.29	3.903	19.044	15.646	5.885	22.346	2.3606	3.3673	11.872	21.991	2.3705	1.7776	13.141	6.3056	3.791	0.8191	0.44059	3.1469	10.049	1.3965	6.5469	0.43117	0.4066	0.5674	0.97617	1.1008	10.63	35.189	1.3685	1.7181	4.6408	15.59	27.808	2.448	0.21393	19.493	0.82755	0.31528	6.6579	11.768	12.458	3.865	5.4609	1.8765	17.509	1.9831	4.7119	2.5367	3.6456	31.005	5.5651	4.2043	8.2773	8.0186	2.3961	1.0388	3.2441	1.215	3.113	3.191	5.3373	2.8351	0.88886	2.0614	0.73065	0.51548	0.18758	0	0.13771	0.058797	0.054752	0	0	0.019719	0	0.043421	0	0.000033401	0.027891	0.0020374	0.011675	0	0.018447	0	0.02427	0	0	0	0	0.31286	0	0	0.026729	0.0062092	0	0.37866	0.09402	0.41579	0	1.4455	0.84181	0.22871	0.058899	0	0	0	0	0	0.15062	0	0	0.070614	0.1012	0.044145	0.038371	0.033442	0.28749	0.11399	0.29035	0.22896	0.11374	0.067118	0.10962	0.13549	0.087943	0.5869	0.28393	0.17118	0.86291	0.32214	0.39698	0.11461	1.0416	0.36567	0.3201	0.37633	0.54288	0.35516	0.11538	0.3414	0	0.11875	0.12803	0.5102	0.084285	0.59234	0.46668	0.11934	0.19189	0.18069	0.031395	0.533	1.7473	0.15185	0.074456	0.26738	0.10741	3.5744	0.77676	0.47012	0.37352	0.7889	0.3305	0.35152	0.30168	0.21494	0.30843	0.34857	0.34331	0.42397	0.41269	0.26178	0.08326	0.3455	0.13258		
B_19	-	{'Sample': 'Sample'}	5	NTG	F	AL	Sample	5	0.26913	0.18113	0.31129	0.52904	1.1284	4.0693	3.8446	0.8497	0.85687	0	0.078683	0.11157	0.39351	1.5816	1.0001	0.49287	0.52017	48.339	3.9343	1.1369	4.2191	0.52442	0.70304	0.22213	0.68864	0.59549	2.4249	1.5316	0.8697	3.2554	0.34174	1.2958	475.56	4.0233	21.671	15.591	5.5586	21.588	2.2542	3.1511	11.142	22.276	2.6108	1.4373	11.236	6.8173	3.5323	0.3059	0.21806	2.4421	10.039	0.83065	5.0921	0.11482	0.064789	0.2401	0.6439	1.0145	9.5733	28.435	0.93324	0.95225	3.1989	20.07	27.022	1.8969	0	17.93	0.52823	0.029096	6.6196	12.207	13.852	4.0751	6.1589	1.652	18.174	1.9755	4.3457	2.2285	3.6023	26.512	6.8344	4.8483	8.3873	11.522	2.5075	1.0083	3.0875	1.2453	3.0747	3.7473	6.2441	2.3278	0.69603	2.2575	0.67926	0.21248	0	0	0	0.07304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023624	0.11785	0	0.96588	1.0649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038087	0.35141	0.13158	0.088421	0.26867	0	0.12818	0	0.74726	0	0	0.00019148	0.32896	0	0	0	0	0	0	0.13612	0	0.009123	0.11451	0	0	0.00096845	0.019591	0.29653	1.2273	0	0	0.16012	0	3.9237	0.48802	0.43316	0.40127	0.98471	0.031254	0.1796	0.054741	0.1013	0.25141	0.083702	0.05662	0.092047	0.1273	0	0	0.12931	0		
B_2	-	{'Sample': 'Sample'}	5	APP	F	AL	Sample	5	0.53804	0.37063	0.52101	0.79347	1.6461	6.1347	5.512	1.365	1.0907	0.37953	0.36041	0.34319	0.74988	2.2322	1.4139	0.78774	0.82958	44.489	5.1376	1.5986	4.4599	0.74523	1.3393	0.57862	1.0622	0.89065	3.7359	2.3265	1.4752	4.0907	0.88528	2.1434	463.55	3.8201	16.384	16.257	6.529	19.586	2.2296	3.5751	11.948	22.231	2.8005	1.475	10.043	4.8884	3.4267	0.5317	0.2141	3.4759	9.2637	0.92389	7.2882	0.32866	0.18642	0.28233	0.90583	0.89547	10.032	30.137	1.0529	1.2307	3.1857	18.085	28.453	2.1235	0	19.248	0.62401	0.2107	6.5933	12.014	13.484	4.2897	5.7904	1.8192	14.451	1.9911	4.6678	2.4371	3.4948	27.792	7.0796	5.2261	8.7087	10.059	2.6539	1.0268	3.4958	1.3719	3.0498	3.6936	5.1734	2.8761	0.89701	2.4854	0.63354	0.44439	0.01866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090219	0	0	0	0	0	0.084736	0.00052915	0.22944	0	1.0899	0.93701	0	0	0	0	0	0	0.020152	0	0	0	0	0	0	0	0	0	0	0.087317	0	0	0	0	0	0.06366	0.33768	0.11036	0.19275	0.54538	0.22106	0.27915	0	0.44727	0.093519	0.019811	0.02035	0.40342	0.10111	0	0.044729	0	0	0.059026	0.32307	0.044027	0.3367	0.22173	0	0	0.12766	0.013994	0.33197	1.3355	0.020155	0	0.19406	0	2.9278	0.33134	0.28106	0.37544	0.65544	0.11686	0.30649	0.23895	0.24225	0.16456	0.044129	0.05511	0.23819	0.1848	0	0.042624	0.20264	0.0002164		
B_20	-	{'Sample': 'Sample'}	5	NTG	F	AL	Sample	5	0.30083	0.27506	0.42342	0.65548	1.1973	4.2763	4.3908	1.1345	1.0282	0.35669	0.1793	0.19355	0.55759	1.6705	0.73002	0.40745	0.43191	41.189	3.5678	1.1316	3.2041	0.52762	1.0316	0.46707	0.78895	0.77036	2.5091	1.6984	0.82934	2.8887	0.17149	0.91447	452.59	4.5269	17.766	16.412	5.0093	21.37	3.0712	3.9034	8.5327	21.5	2.4324	1.5271	10.476	6.0257	3.8232	0.62344	0.34718	2.3157	10.163	1.8219	6.2917	0.44203	0.18772	0.48018	1.115	1.1109	6.828	33.965	1.5529	1.632	3.8491	19.475	22.822	2.4757	0.066743	13.724	0.83093	0.31307	6.5526	13.744	13.934	3.9578	6.8887	1.6445	19.93	2.3308	4.3871	2.7925	5.6886	31.564	4.9591	5.4276	8.9548	11.291	2.9399	1.2181	3.8113	1.3987	3.1056	4.2255	6.218	2.4974	0.91805	2.7668	0.98321	0.62345	0.2666	0.19615	0.15719	0	0.084496	0.0038975	0	0	0.0068767	0.0036065	0.20901	0	0.17227	0	0	0.037465	0.17545	0.066478	0.13664	0.19867	0.2039	0.1669	0.021718	0.4116	0	0.04269	0.065254	0.05378	0	0.45087	0.22749	0.49598	0.12099	1.1251	1.6297	0.19515	0.16	0.066979	0.025439	0.14706	0.1745	0	0.054302	0.070294	0.17471	0.07561	0.08768	0	0.057958	0.076191	0.22229	0.1546	0.26283	0.12726	0	0	0.044861	0.060343	0.16704	0.63348	0.2626	0.11318	0.7038	0.22525	0.2935	0.084348	1.2553	0.46347	0.42883	0.50043	0.51006	0.33175	0.19412	0.32882	0.14855	0.087724	0.051309	0.41689	0.12208	0.53695	0.49876	0.13467	0.17089	0.10269	0	0.46833	1.7945	0.2923	0	0.27381	0.12334	4.4799	0.92587	0.74142	0.69916	1.3482	0.52777	0.61861	0.38493	0.39078	0.36938	0.40086	0.48054	0.46155	0.35248	0.36994	0.16406	0.36348	0.17865		
B_21	-	{'Sample': 'Sample'}	5	NTG	F	AL	Sample	5	0.42134	0.39462	0.53569	0.75922	1.4416	5.2295	5.0769	1.4978	1.2852	0.71923	0.26604	0.2739	0.69987	2.503	1.3707	0.68552	0.61841	43.552	5.1155	1.4742	4.7375	0.81453	1.5343	0.67595	1.0376	0.9547	3.5172	2.3789	1.5459	4.2148	0.97114	2.0526	439.62	3.66	20.28	15	5.3936	20.251	2.3378	3.5501	12.602	20.127	2.6012	1.6107	11.592	6.5306	3.6005	0.61001	0.44297	2.8971	10.058	1.3769	5.7858	0.56185	0.27717	0.52272	0.9826	1.0928	10.948	29.032	1.319	1.6798	5.1399	17.382	27.631	2.3786	0.20017	19.327	0.76121	0.36361	7.0346	12.055	13.256	4.164	5.3073	1.8437	17.299	2.1096	5.0549	2.5517	4.0657	26.692	6.4499	4.3383	8.6474	10.318	2.751	0.99814	3.3426	1.2545	3.5776	3.3758	5.7627	2.8427	0.88001	1.9874	0.52856	0.67307	0.044117	0.015458	0	0.42844	0.1307	0	0.0018827	0.01992	0	0	0.043935	0	0.12642	0.027621	0	0	0	0	0.14221	0.081187	0	0.040577	0.0056655	0.47298	0	0	0	0.07524	0.11242	0.436	0.23824	0.44902	0.033264	1.5913	0.96421	0.15364	0	0.043694	0.10709	0.16136	0.0041725	0.02149	0.24784	0.068546	0.10756	0.087896	0.18386	0.14984	0.13311	0.12416	0.2496	0.054881	0.43179	0.15401	0.17902	0.14702	0.1914	0.19606	0.23171	0.68289	0.293	0.23652	0.71456	0.42515	0.48514	0.11745	0.88163	0.43841	0.24011	0.34623	0.66494	0.28755	0.14617	0.23759	0.046632	0.046369	0.15225	0.60335	0.16277	0.55169	0.49324	0.22797	0.16811	0.33044	0.14551	0.60192	1.7134	0.35965	0.003161	0.3057	0.20664	4.0296	0.5279	0.70494	0.53298	1.0008	0.64191	0.4615	0.22309	0.3074	0.29759	0.37797	0.47739	0.51803	0.36991	0.40923	0.19707	0.46461	0.19257		
B_22	-	{'Sample': 'Sample'}	5	NTG	F	AL	Sample	5	0.1412	0.11872	0.29713	0.59317	1.1997	4.0133	4.0274	0.79926	0.7538	0.12511	0.069354	0.08041	0.29895	1.4473	0.76167	0.41493	0.44343	41.18	3.7827	1.0207	3.6872	0.34869	0.56949	0.25984	0.63654	0.58952	2.2902	1.352	0.50877	3.2252	0.142	1.1451	486.73	4.4033	21.295	15.367	5.7741	20.794	2.3674	3.4273	11.1	21.071	2.529	1.4993	11.544	6.5358	3.4237	0.45696	0.29032	2.7164	9.972	0.91508	5.6979	0.13829	0.076871	0.21382	0.67168	0.74843	9.2415	26.989	1.1	1.2016	3.9959	18.6	26.043	2.0853	0	16.783	0.56121	0.056754	6.7835	12.363	13.55	4.1052	6.0716	1.7935	16.702	1.9367	4.6975	2.4112	3.3185	25.682	6.7249	4.4939	8.6863	9.8958	2.5522	0.96186	3.3482	1.2017	3.1214	3.6937	6.1534	2.6992	0.70483	2.3279	0.76638	0.73744	0.19727	0	0.01605	0.37557	0.11364	0	0	0	0	0.029551	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2384	0	0	0	0	0	0.052614	0.15159	0.14708	0	1.2787	0.89573	0.053249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20567	0	0.0050804	0	0	0	0.061408	0	0	0.29236	0.022667	0.19004	0.4304	0.02016	0.11222	0	0.82969	0.40982	0.23792	0.1852	0.50337	0.28614	0	0.075118	0	0	0	0.22103	0.017652	0.46985	0.33101	0	0.088776	0.064368	0.034186	0.33432	1.5417	0.14518	0	0.16331	0	4.032	0.35037	0.56242	0.32848	1.0096	0.23885	0.29294	0.11926	0.15734	0.13807	0.18892	0.2122	0.21184	0.24073	0.28616	0.1048	0.31927	0.15938		
B_23	-	{'Sample': 'Sample'}	5	NTG	F	AL	Sample	5	0.46824	0.25329	0.45352	0.70092	1.4697	5.0165	4.8382	1.1231	1.164	0.46896	0.24442	0.3587	0.6035	2.2787	1.3022	0.7635	0.83437	46.092	4.7201	1.3138	4.4868	0.7015	1.2685	0.55925	1.0342	0.81545	3.5576	2.387	1.6414	4.7419	1.3656	2.7495	467.95	2.0734	20.361	14.976	5.4414	20.562	1.915	3.269	11.559	21.2	2.7632	1.486	11.293	6.353	3.0887	0.28031	0.18667	2.4699	9.5742	0.81326	5.0813	0.12952	0.13426	0.26641	0.74373	0.98871	10.435	27.767	0.99227	1.073	4.5838	18.903	27.599	1.865	0	18.804	0.54613	0.086816	7.0811	12.635	13.905	4.2135	5.6734	1.6819	17.969	1.9288	4.9897	2.4479	3.7331	26.222	6.8803	4.3165	8.7928	10.794	2.564	0.94951	3.0979	1.2739	3.4454	3.3197	5.8481	2.6825	0.6957	1.9883	0.47009	0.34474	0	0	0.02852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027019	0	0	0	1.2647	0.69781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037712	0	0	0	0.27592	0.050371	0	0.19127	0.070652	0.095229	0	0.44844	0.044828	0.001092	0.0068337	0.16653	0	0.019956	0	0	0	0.024007	0.17397	0	0.30922	0.1797	0	0	0	0	0.32288	1.4976	0	0	0.074065	0	4.4058	0.081266	0.45339	0.28696	0.60979	0.1975	0.080397	0	0.0059683	0.0052383	0.013136	0.043918	0.19448	0	0.074285	0.041419	0.19294	0		
B_24	-	{'Sample': 'Sample'}	5	NTG	F	CR	Sample	5	0.51042	0.3138	0.36472	0.81101	1.4421	5.3693	5.1678	1.3723	1.3078	0.49053	0.20532	0.29725	0.59035	2.1162	1.1662	0.68893	0.76413	34.92	4.7841	1.3882	4.3233	0.73953	1.2395	0.70197	1.0228	0.86209	3.2669	2.0757	1.3692	4.0993	0.86272	1.8458	458.04	3.5851	20.608	16.377	7.0497	21.562	2.2143	3.5938	12.2	23.664	2.7333	1.6633	12.346	6.6885	3.8562	0.68055	0.31031	3.0596	9.596	1.2456	5.6733	0.33704	0.42009	0.52409	0.91293	1.1699	10.398	30.635	1.4343	1.8337	4.9111	17.214	29.095	2.3908	0.0856	21.244	0.78509	0.25164	6.5705	11.374	12.573	3.866	5.1506	1.9749	14.818	2.1284	4.9585	2.5955	3.2106	27.578	6.1675	4.4661	8.1961	8.1398	2.5826	0.98031	3.0746	1.182	3.3772	3.1174	5.7197	2.79	0.8132	2.3369	0.62477	0.52102	0	0.017914	0.063656	0	0	0	0	0	0	0.021776	0	0	0	0	0	0.033334	0	0.016498	0	0	0	0	0	0.35695	0	0	0	0	0	0.21974	0.16291	0.2765	0	1.6501	0.8057	0.13803	0	0	0	0	0	0.0046406	0.10666	0	0	0	0	0	0.16218	0	0.074886	0	0.25054	0	0.042267	0.065585	0	0.14365	0.10048	0.66256	0.17357	0.15186	0.67664	0.34912	0.24273	0.04236	0.57698	0.25002	0.14638	0.24409	0.52054	0.21589	0.079989	0.13493	0.056202	0	0.068427	0.31266	0.093255	0.40469	0.46322	0.0934	0.076475	0.2204	0.1023	0.54094	1.4625	0.1563	0	0.21376	0.010043	3.6936	0.50434	0.43623	0.37743	0.63664	0.34572	0.3409	0.19504	0.21552	0.28048	0.17605	0.2628	0.34173	0.17274	0.21199	0.091213	0.30251	0.2041		
